AcX = 13228 | AcY = -7520 | AcZ = 8208 | Tmp = 27.31 | GyX = -32768 | GyY = 2143 | GyZ = 10166
AcX = 8040 | AcY = -620 | AcZ = 9720 | Tmp = 27.26 | GyX = -17310 | GyY = 22895 | GyZ = -12881
AcX = 16912 | AcY = -11364 | AcZ = 7764 | Tmp = 27.31 | GyX = 32767 | GyY = 2547 | GyZ = -73
AcX = 11956 | AcY = -16344 | AcZ = 12904 | Tmp = 27.35 | GyX = 7414 | GyY = 5396 | GyZ = 15825
AcX = 32767 | AcY = -27188 | AcZ = 21848 | Tmp = 27.31 | GyX = -32768 | GyY = -6349 | GyZ = 5884
AcX = 8336 | AcY = -3400 | AcZ = 7872 | Tmp = 27.35 | GyX = 2588 | GyY = -32768 | GyZ = -2234
AcX = -1484 | AcY = -2356 | AcZ = 10676 | Tmp = 27.26 | GyX = 8154 | GyY = 22544 | GyZ = 10700
AcX = 32767 | AcY = -32768 | AcZ = 32767 | Tmp = 27.31 | GyX = 32767 | GyY = -28854 | GyZ = 32767
AcX = -928 | AcY = -9644 | AcZ = 17584 | Tmp = 27.31 | GyX = -32768 | GyY = 1468 | GyZ = -11599
AcX = 19608 | AcY = -12488 | AcZ = 4248 | Tmp = 27.35 | GyX = -740 | GyY = -3371 | GyZ = 7771
AcX = 11000 | AcY = 500 | AcZ = 7648 | Tmp = 27.31 | GyX = 10705 | GyY = 2263 | GyZ = -6542
AcX = 19068 | AcY = -6788 | AcZ = 7956 | Tmp = 27.35 | GyX = 26907 | GyY = 8942 | GyZ = 12896
AcX = 20544 | AcY = -5808 | AcZ = 7796 | Tmp = 27.21 | GyX = -29212 | GyY = -20622 | GyZ = 13702
AcX = 14624 | AcY = -6880 | AcZ = 6380 | Tmp = 27.26 | GyX = -5849 | GyY = -12004 | GyZ = 3085
AcX = 14904 | AcY = -2812 | AcZ = 6508 | Tmp = 27.31 | GyX = 13322 | GyY = 3610 | GyZ = -4485
AcX = 12432 | AcY = -8020 | AcZ = 9484 | Tmp = 27.26 | GyX = -12766 | GyY = 15597 | GyZ = -9364
AcX = 13644 | AcY = -14452 | AcZ = 7192 | Tmp = 27.35 | GyX = 20734 | GyY = 6423 | GyZ = -1872
AcX = 16296 | AcY = -8500 | AcZ = 10820 | Tmp = 27.31 | GyX = 7813 | GyY = 2465 | GyZ = 20697
AcX = 22852 | AcY = -8968 | AcZ = 9268 | Tmp = 27.35 | GyX = -32431 | GyY = 4884 | GyZ = 18528
AcX = 14876 | AcY = 1808 | AcZ = 9768 | Tmp = 27.31 | GyX = -7741 | GyY = -6622 | GyZ = -4579
AcX = 19972 | AcY = -7120 | AcZ = 8104 | Tmp = 27.17 | GyX = 26840 | GyY = -11228 | GyZ = -3954
AcX = 21464 | AcY = -10856 | AcZ = 12476 | Tmp = 27.31 | GyX = 16996 | GyY = -26248 | GyZ = -4364
AcX = 9748 | AcY = -12164 | AcZ = 9308 | Tmp = 27.35 | GyX = -4681 | GyY = 3856 | GyZ = -12529
AcX = 23416 | AcY = 4976 | AcZ = 1700 | Tmp = 27.26 | GyX = -28600 | GyY = -24149 | GyZ = -224
AcX = 5988 | AcY = -2692 | AcZ = -12800 | Tmp = 27.31 | GyX = -19066 | GyY = -23510 | GyZ = 14458
AcX = 2100 | AcY = 14760 | AcZ = 5992 | Tmp = 27.35 | GyX = 30553 | GyY = 40 | GyZ = -15853
AcX = 17912 | AcY = -32768 | AcZ = -10360 | Tmp = 27.26 | GyX = 31718 | GyY = -9916 | GyZ = -30752
AcX = 2132 | AcY = -7136 | AcZ = -7732 | Tmp = 27.35 | GyX = -28572 | GyY = -6224 | GyZ = 13963
AcX = 4140 | AcY = 28868 | AcZ = -6940 | Tmp = 27.26 | GyX = 17401 | GyY = 10333 | GyZ = -13745
AcX = 4012 | AcY = -26160 | AcZ = -12408 | Tmp = 27.26 | GyX = -4924 | GyY = -4410 | GyZ = -10854
AcX = 4844 | AcY = -864 | AcZ = 7456 | Tmp = 27.21 | GyX = -13914 | GyY = 22248 | GyZ = 32767
AcX = 29260 | AcY = -13764 | AcZ = 16764 | Tmp = 27.35 | GyX = 32767 | GyY = 9749 | GyZ = 13202
AcX = 30080 | AcY = -10080 | AcZ = 19224 | Tmp = 27.26 | GyX = 32767 | GyY = 367 | GyZ = -5438
AcX = -4224 | AcY = -3740 | AcZ = 19328 | Tmp = 27.35 | GyX = 17365 | GyY = -1648 | GyZ = 25954
AcX = 25400 | AcY = -15944 | AcZ = 25332 | Tmp = 27.26 | GyX = -32768 | GyY = 8974 | GyZ = 14238
AcX = 13396 | AcY = 948 | AcZ = 11896 | Tmp = 27.31 | GyX = -5831 | GyY = -4035 | GyZ = -22237
AcX = 8116 | AcY = -8628 | AcZ = 5184 | Tmp = 27.26 | GyX = 17261 | GyY = 1720 | GyZ = -3418
AcX = 22796 | AcY = -11908 | AcZ = 13116 | Tmp = 27.31 | GyX = 32767 | GyY = 16225 | GyZ = -2850
AcX = 13832 | AcY = -14712 | AcZ = 5668 | Tmp = 27.21 | GyX = -18002 | GyY = -418 | GyZ = -6594
AcX = 17260 | AcY = -7280 | AcZ = 5828 | Tmp = 27.21 | GyX = -16817 | GyY = 1637 | GyZ = 4591
AcX = 15696 | AcY = -6132 | AcZ = 8196 | Tmp = 27.35 | GyX = -13595 | GyY = -10166 | GyZ = 949
AcX = 7352 | AcY = -6652 | AcZ = 6412 | Tmp = 27.21 | GyX = 5055 | GyY = -1206 | GyZ = -2984
AcX = 15536 | AcY = -11628 | AcZ = 11028 | Tmp = 27.26 | GyX = 30465 | GyY = 13914 | GyZ = -5900
AcX = 15704 | AcY = -10756 | AcZ = 5948 | Tmp = 27.26 | GyX = 5800 | GyY = 6926 | GyZ = -8812
AcX = 17676 | AcY = -4580 | AcZ = 9572 | Tmp = 27.40 | GyX = -4492 | GyY = -9033 | GyZ = 9533
AcX = 17752 | AcY = -11868 | AcZ = 7508 | Tmp = 27.26 | GyX = -19805 | GyY = -32768 | GyZ = 8852
AcX = 16316 | AcY = -7292 | AcZ = 4660 | Tmp = 27.31 | GyX = 2741 | GyY = -7077 | GyZ = 8380
AcX = 13024 | AcY = -5104 | AcZ = 6464 | Tmp = 27.31 | GyX = 1913 | GyY = -6665 | GyZ = -5838
AcX = 11236 | AcY = -10272 | AcZ = 5212 | Tmp = 27.26 | GyX = 11345 | GyY = 12439 | GyZ = -4467
AcX = 14828 | AcY = -14808 | AcZ = 3024 | Tmp = 27.26 | GyX = -28284 | GyY = 25082 | GyZ = -14066
AcX = 14584 | AcY = -4352 | AcZ = 7120 | Tmp = 27.26 | GyX = -20006 | GyY = 12376 | GyZ = 9036
AcX = 13876 | AcY = -12520 | AcZ = 5588 | Tmp = 27.21 | GyX = 23090 | GyY = -6688 | GyZ = -9267
AcX = 6576 | AcY = -16980 | AcZ = 11568 | Tmp = 27.26 | GyX = 8458 | GyY = 5624 | GyZ = 18622
AcX = 10688 | AcY = -8256 | AcZ = 6236 | Tmp = 27.31 | GyX = -13091 | GyY = 5402 | GyZ = -7828
AcX = 13296 | AcY = -10052 | AcZ = 6976 | Tmp = 27.35 | GyX = -7058 | GyY = -3493 | GyZ = -4369
AcX = 11984 | AcY = -8688 | AcZ = 4396 | Tmp = 27.31 | GyX = 2800 | GyY = 15192 | GyZ = -79
AcX = 18344 | AcY = -10368 | AcZ = 4912 | Tmp = 27.31 | GyX = 4338 | GyY = 11822 | GyZ = 1887
AcX = 13448 | AcY = -10372 | AcZ = 4668 | Tmp = 27.26 | GyX = -2242 | GyY = -5956 | GyZ = 1579
AcX = 11984 | AcY = -10020 | AcZ = 5740 | Tmp = 27.31 | GyX = 3291 | GyY = -8128 | GyZ = 113
AcX = 13560 | AcY = -6644 | AcZ = 4836 | Tmp = 27.26 | GyX = -4852 | GyY = -4065 | GyZ = 7933
AcX = 11528 | AcY = -10040 | AcZ = 6808 | Tmp = 27.21 | GyX = 25416 | GyY = 45 | GyZ = 1845
AcX = 13324 | AcY = -6576 | AcZ = 7040 | Tmp = 27.31 | GyX = 7240 | GyY = 2231 | GyZ = 1805
AcX = 14872 | AcY = -5408 | AcZ = 7428 | Tmp = 27.31 | GyX = 4596 | GyY = -10270 | GyZ = 6808
AcX = 14576 | AcY = -8600 | AcZ = 7612 | Tmp = 27.40 | GyX = 5354 | GyY = -10589 | GyZ = 4999
AcX = 15424 | AcY = -5972 | AcZ = 4220 | Tmp = 27.35 | GyX = -16434 | GyY = -4599 | GyZ = -493
AcX = 13492 | AcY = -4416 | AcZ = 8312 | Tmp = 27.26 | GyX = -630 | GyY = -2012 | GyZ = 43
AcX = 17316 | AcY = -7988 | AcZ = 9268 | Tmp = 27.26 | GyX = 7547 | GyY = 4791 | GyZ = -2547
AcX = 12584 | AcY = -11676 | AcZ = 4028 | Tmp = 27.26 | GyX = -16691 | GyY = 9258 | GyZ = -4708
AcX = 12128 | AcY = -10864 | AcZ = 4504 | Tmp = 27.35 | GyX = 5165 | GyY = -670 | GyZ = -2928
AcX = 12664 | AcY = -6028 | AcZ = 6136 | Tmp = 27.21 | GyX = 3211 | GyY = -5784 | GyZ = -3673
AcX = 18948 | AcY = -11720 | AcZ = 7536 | Tmp = 27.35 | GyX = 7617 | GyY = -8245 | GyZ = 12211
AcX = 16196 | AcY = -12272 | AcZ = 6792 | Tmp = 27.35 | GyX = -23396 | GyY = -12055 | GyZ = 3496
AcX = 13684 | AcY = -5444 | AcZ = 5504 | Tmp = 27.26 | GyX = -14288 | GyY = 2156 | GyZ = 5875
AcX = 12976 | AcY = -7140 | AcZ = 5984 | Tmp = 27.21 | GyX = 5675 | GyY = 13114 | GyZ = 562
AcX = 22184 | AcY = -15496 | AcZ = 9108 | Tmp = 27.35 | GyX = -1058 | GyY = 32382 | GyZ = -4408
AcX = 17860 | AcY = -1572 | AcZ = 2848 | Tmp = 27.31 | GyX = -14200 | GyY = 25908 | GyZ = -13103
AcX = 13096 | AcY = -7672 | AcZ = 4460 | Tmp = 27.40 | GyX = 5674 | GyY = -5064 | GyZ = -8214
AcX = 3208 | AcY = -26436 | AcZ = 11344 | Tmp = 27.35 | GyX = 1877 | GyY = 2329 | GyZ = -17324
AcX = 12840 | AcY = -6324 | AcZ = 11236 | Tmp = 27.35 | GyX = -32768 | GyY = 8020 | GyZ = -11880
AcX = 14260 | AcY = -9800 | AcZ = 5532 | Tmp = 27.35 | GyX = 9965 | GyY = -7092 | GyZ = 2590
AcX = 13480 | AcY = -9972 | AcZ = 7264 | Tmp = 27.31 | GyX = -5503 | GyY = -9211 | GyZ = 4040
AcX = 13232 | AcY = -10324 | AcZ = 6104 | Tmp = 27.31 | GyX = -28274 | GyY = 8715 | GyZ = 3670
AcX = 17036 | AcY = -10384 | AcZ = 10120 | Tmp = 27.31 | GyX = -32768 | GyY = 17507 | GyZ = -16561
AcX = 18660 | AcY = 12488 | AcZ = 11012 | Tmp = 27.21 | GyX = -26798 | GyY = 3005 | GyZ = 9614
AcX = 17840 | AcY = -9248 | AcZ = 492 | Tmp = 27.17 | GyX = 32767 | GyY = 13211 | GyZ = 2221
AcX = 26460 | AcY = -10596 | AcZ = 3588 | Tmp = 27.26 | GyX = -32768 | GyY = -13670 | GyZ = -30902
AcX = 10896 | AcY = -6468 | AcZ = -5332 | Tmp = 27.26 | GyX = 6681 | GyY = 256 | GyZ = 4352
AcX = 17920 | AcY = -1852 | AcZ = 7764 | Tmp = 27.35 | GyX = 23474 | GyY = -7836 | GyZ = 20357
AcX = 17524 | AcY = -692 | AcZ = 10072 | Tmp = 27.35 | GyX = -6852 | GyY = -2414 | GyZ = -4905
AcX = 17948 | AcY = -5124 | AcZ = 6268 | Tmp = 27.26 | GyX = -2751 | GyY = 1976 | GyZ = -2502
AcX = 12840 | AcY = -12096 | AcZ = -108 | Tmp = 27.31 | GyX = -18834 | GyY = 7956 | GyZ = -11906
AcX = 23556 | AcY = 2380 | AcZ = 4652 | Tmp = 27.26 | GyX = -18961 | GyY = 5444 | GyZ = -23616
AcX = 13244 | AcY = 6480 | AcZ = 3992 | Tmp = 27.31 | GyX = 830 | GyY = 5404 | GyZ = -5301
AcX = 11152 | AcY = 17824 | AcZ = 4240 | Tmp = 27.35 | GyX = 4029 | GyY = -1378 | GyZ = -4578
AcX = 9548 | AcY = 19028 | AcZ = 2004 | Tmp = 27.31 | GyX = -7890 | GyY = -496 | GyZ = -10013
AcX = 5924 | AcY = 12240 | AcZ = 4612 | Tmp = 27.21 | GyX = -7740 | GyY = -4051 | GyZ = -8242
AcX = -408 | AcY = 18980 | AcZ = 3316 | Tmp = 27.26 | GyX = -5120 | GyY = -5042 | GyZ = -9957
AcX = -8680 | AcY = 17228 | AcZ = 5404 | Tmp = 27.31 | GyX = 14305 | GyY = -12316 | GyZ = 2326
AcX = 5000 | AcY = 17160 | AcZ = -11044 | Tmp = 27.21 | GyX = 17198 | GyY = -21395 | GyZ = 16694
AcX = -1868 | AcY = 8836 | AcZ = -4732 | Tmp = 27.26 | GyX = 6590 | GyY = -13009 | GyZ = 20544
AcX = 2684 | AcY = 7520 | AcZ = -14236 | Tmp = 27.26 | GyX = 18983 | GyY = -11427 | GyZ = 11453
AcX = -3412 | AcY = -8708 | AcZ = -8188 | Tmp = 27.26 | GyX = 1885 | GyY = -187 | GyZ = 3515
AcX = 2732 | AcY = 172 | AcZ = -8536 | Tmp = 27.35 | GyX = -1539 | GyY = 17174 | GyZ = 3239
AcX = 6304 | AcY = -812 | AcZ = -8308 | Tmp = 27.26 | GyX = 8546 | GyY = 8931 | GyZ = 4050
AcX = 7748 | AcY = -5824 | AcZ = -16608 | Tmp = 27.21 | GyX = 16458 | GyY = 2189 | GyZ = -1460
AcX = 10036 | AcY = -8704 | AcZ = -14900 | Tmp = 27.21 | GyX = -32768 | GyY = -3847 | GyZ = 14684
AcX = -2236 | AcY = -13228 | AcZ = -16944 | Tmp = 27.26 | GyX = 5346 | GyY = 12824 | GyZ = 1323
AcX = 1588 | AcY = 19396 | AcZ = -4428 | Tmp = 27.26 | GyX = 2449 | GyY = -4322 | GyZ = -15253
AcX = 920 | AcY = -4788 | AcZ = -13492 | Tmp = 27.35 | GyX = 3407 | GyY = -599 | GyZ = 11837
AcX = -116 | AcY = 2852 | AcZ = -18276 | Tmp = 27.35 | GyX = 12515 | GyY = 2471 | GyZ = 10434
AcX = 9228 | AcY = -2540 | AcZ = -25152 | Tmp = 27.26 | GyX = -14613 | GyY = 17501 | GyZ = -9414
